Date,State,Counts
10/03/20,Andhra Pradesh,0
11/03/20,Andhra Pradesh,0
12/03/20,Andhra Pradesh,1
13/03/20,Andhra Pradesh,1
14/03/20,Andhra Pradesh,1
15/03/20,Andhra Pradesh,1
16/03/20,Andhra Pradesh,1
17/03/20,Andhra Pradesh,1
18/03/20,Andhra Pradesh,1
19/03/20,Andhra Pradesh,2
20/03/20,Andhra Pradesh,3
21/03/20,Andhra Pradesh,3
22/03/20,Andhra Pradesh,5
23/03/20,Andhra Pradesh,7
24/03/20,Andhra Pradesh,8
25/03/20,Andhra Pradesh,9
26/03/20,Andhra Pradesh,11
27/03/20,Andhra Pradesh,14
28/03/20,Andhra Pradesh,14
29/03/20,Andhra Pradesh,19
30/03/20,Andhra Pradesh,23
31/03/20,Andhra Pradesh,40
01/04/20,Andhra Pradesh,83
02/04/20,Andhra Pradesh,86
03/04/20,Andhra Pradesh,132
04/04/20,Andhra Pradesh,161
05/04/20,Andhra Pradesh,190
06/04/20,Andhra Pradesh,226
07/04/20,Andhra Pradesh,266
08/04/20,Andhra Pradesh,305
09/04/20,Andhra Pradesh,348
10/04/20,Andhra Pradesh,363
11/04/20,Andhra Pradesh,381
12/04/20,Andhra Pradesh,381
13/04/20,Andhra Pradesh,432
14/04/20,Andhra Pradesh,473
15/04/20,Andhra Pradesh,503
16/04/20,Andhra Pradesh,534
17/04/20,Andhra Pradesh,572
18/04/20,Andhra Pradesh,603
19/04/20,Andhra Pradesh,603
20/04/20,Andhra Pradesh,722
21/04/20,Andhra Pradesh,757
22/04/20,Andhra Pradesh,813
23/04/20,Andhra Pradesh,895
24/04/20,Andhra Pradesh,955
25/04/20,Andhra Pradesh,1061
26/04/20,Andhra Pradesh,1097
27/04/20,Andhra Pradesh,1177
28/04/20,Andhra Pradesh,1259
29/04/20,Andhra Pradesh,1332
30/04/20,Andhra Pradesh,1403
01/05/20,Andhra Pradesh,1463
02/05/20,Andhra Pradesh,1525
03/05/20,Andhra Pradesh,1583
04/05/20,Andhra Pradesh,1650
05/05/20,Andhra Pradesh,1717
06/05/20,Andhra Pradesh,1717
07/05/20,Andhra Pradesh,1777
08/05/20,Andhra Pradesh,1847
09/05/20,Andhra Pradesh,1887
10/05/20,Andhra Pradesh,1930
11/05/20,Andhra Pradesh,1980
12/05/20,Andhra Pradesh,2018
13/05/20,Andhra Pradesh,2090
14/05/20,Andhra Pradesh,2137
15/05/20,Andhra Pradesh,2205
16/05/20,Andhra Pradesh,2307
17/05/20,Andhra Pradesh,2355
18/05/20,Andhra Pradesh,2407
19/05/20,Andhra Pradesh,2474
20/05/20,Andhra Pradesh,2532
21/05/20,Andhra Pradesh,2602
22/05/20,Andhra Pradesh,2647
23/05/20,Andhra Pradesh,2709
24/05/20,Andhra Pradesh,2757
25/05/20,Andhra Pradesh,2823
26/05/20,Andhra Pradesh,3110
27/05/20,Andhra Pradesh,3171
28/05/20,Andhra Pradesh,3171
29/05/20,Andhra Pradesh,3251
30/05/20,Andhra Pradesh,3436
31/05/20,Andhra Pradesh,3569
01/06/20,Andhra Pradesh,3679
02/06/20,Andhra Pradesh,3783
03/06/20,Andhra Pradesh,3898
04/06/20,Andhra Pradesh,4080
05/06/20,Andhra Pradesh,4223
06/06/20,Andhra Pradesh,4303
07/06/20,Andhra Pradesh,4510
08/06/20,Andhra Pradesh,4708
09/06/20,Andhra Pradesh,4851
10/06/20,Andhra Pradesh,5070
11/06/20,Andhra Pradesh,5269
12/06/20,Andhra Pradesh,5429
13/06/20,Andhra Pradesh,5680
14/06/20,Andhra Pradesh,5965
15/06/20,Andhra Pradesh,6163
16/06/20,Andhra Pradesh,6456
17/06/20,Andhra Pradesh,6841
18/06/20,Andhra Pradesh,7071
19/06/20,Andhra Pradesh,7518
20/06/20,Andhra Pradesh,7961
21/06/20,Andhra Pradesh,8452
22/06/20,Andhra Pradesh,8999
23/06/20,Andhra Pradesh,9372
24/06/20,Andhra Pradesh,10002
25/06/20,Andhra Pradesh,10331
26/06/20,Andhra Pradesh,10884
27/06/20,Andhra Pradesh,11489
28/06/20,Andhra Pradesh,12285
29/06/20,Andhra Pradesh,13241
30/06/20,Andhra Pradesh,13891
01/07/20,Andhra Pradesh,14595
02/07/20,Andhra Pradesh,15252
03/07/20,Andhra Pradesh,16097
04/07/20,Andhra Pradesh,16934
05/07/20,Andhra Pradesh,17699
06/07/20,Andhra Pradesh,18697
07/07/20,Andhra Pradesh,20019
08/07/20,Andhra Pradesh,21197
09/07/20,Andhra Pradesh,22259
10/07/20,Andhra Pradesh,23814
11/07/20,Andhra Pradesh,25422
12/07/20,Andhra Pradesh,27235
13/07/20,Andhra Pradesh,29168
14/07/20,Andhra Pradesh,31103
15/07/20,Andhra Pradesh,33019
16/07/20,Andhra Pradesh,35451
17/07/20,Andhra Pradesh,38044
18/07/20,Andhra Pradesh,40646
19/07/20,Andhra Pradesh,44609
20/07/20,Andhra Pradesh,49650
21/07/20,Andhra Pradesh,53724
22/07/20,Andhra Pradesh,58668
23/07/20,Andhra Pradesh,64713
24/07/20,Andhra Pradesh,72711
25/07/20,Andhra Pradesh,80858
26/07/20,Andhra Pradesh,88671
27/07/20,Andhra Pradesh,96298
28/07/20,Andhra Pradesh,102349
29/07/20,Andhra Pradesh,110297
30/07/20,Andhra Pradesh,120390
31/07/20,Andhra Pradesh,130557
01/08/20,Andhra Pradesh,140933
02/08/20,Andhra Pradesh,150209
03/08/20,Andhra Pradesh,158764
04/08/20,Andhra Pradesh,166586
05/08/20,Andhra Pradesh,176333
06/08/20,Andhra Pradesh,186461
07/08/20,Andhra Pradesh,196789
08/08/20,Andhra Pradesh,206960
09/08/20,Andhra Pradesh,217040
10/08/20,Andhra Pradesh,227860
11/08/20,Andhra Pradesh,235525
12/08/20,Andhra Pradesh,244549
13/08/20,Andhra Pradesh,254146
14/08/20,Andhra Pradesh,264142
15/08/20,Andhra Pradesh,273085
16/08/20,Andhra Pradesh,281817
17/08/20,Andhra Pradesh,289829
18/08/20,Andhra Pradesh,296609
19/08/20,Andhra Pradesh,306261
20/08/20,Andhra Pradesh,316003
21/08/20,Andhra Pradesh,325396
22/08/20,Andhra Pradesh,334940
23/08/20,Andhra Pradesh,345216
24/08/20,Andhra Pradesh,353111
25/08/20,Andhra Pradesh,361712
26/08/20,Andhra Pradesh,371639
27/08/20,Andhra Pradesh,382469
28/08/20,Andhra Pradesh,393090
29/08/20,Andhra Pradesh,403616
30/08/20,Andhra Pradesh,414164
31/08/20,Andhra Pradesh,424767
01/09/20,Andhra Pradesh,434771
02/09/20,Andhra Pradesh,445139
03/09/20,Andhra Pradesh,455531
04/09/20,Andhra Pradesh,465730
05/09/20,Andhra Pradesh,476506
06/09/20,Andhra Pradesh,487331
07/09/20,Andhra Pradesh,498125
08/09/20,Andhra Pradesh,506493
09/09/20,Andhra Pradesh,517094
10/09/20,Andhra Pradesh,527512
